Loss,State,Policy,Hamming_distance
0.9678118805614986,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.003462859400179097,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.0829058352040164,0.10000000149011612,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1]",1
0.09452747397915573,0.20000000298023224,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.05369848276401967,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.05807971209328855,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.06095963322042053,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.07856299323541549,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.0350763520361852,0.10000000149011612,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.0631035872195973,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.03377563090574842,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.08434316278010101,0.10000000149011612,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.06493982503242535,0.10000000149011612,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]",0
0.06399389942609446,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.03445999165813163,0.0,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1
0.0543894163903218,0.10000000149011612,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1
0.03343761141931059,0.20000000298023224,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.05529499585972886,0.30000001192092896,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",4
0.06279918548022145,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.06480427505568898,0.0,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 1]",2
0.03165148171881782,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.03409845559971991,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.043913646066908285,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.04322016244805127,0.10000000149011612,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.04356116612649752,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.032135496148517184,0.10000000149011612,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.026237503934368078,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.03561893479812284,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.05649006466363682,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.00851575536989202,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.05400648409869679,0.10000000149011612,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1
0.024819401286001463,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.03620912218021309,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.014520086914360242,0.10000000149011612,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1
0.0426233197436825,0.0,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1]",1
0.01836315827830104,0.0,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 1]",2
0.031190165750771826,0.10000000149011612,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.029145259791690137,0.20000000298023224,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]",0
0.02125492123297386,0.0,"[1, 0, 0, 1, 1, 1, 1, 1, 1, 1]",1
0.033899938586118096,0.0,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]",0
0.021263818905893572,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.032426023103568014,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.01869410161074747,0.10000000149011612,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.03277738204076286,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.015319526354932833,0.10000000149011612,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.028007672240317305,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.01877741570738678,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.011874154420617344,0.10000000149011612,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",3
0.01653965773028432,0.20000000298023224,"[1, 0, 0, 0, 0, 0, 1, 1, 1, 1]",4
0.02787731184618991,0.20000000298023224,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",8
0.018236034582297833,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",4
0.027742661922786738,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.020490495486398988,0.10000000149011612,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.007209723014245384,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.02767822676210585,0.10000000149011612,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",8
0.013643147069423269,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.014823166395047771,0.0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",8
0.021883681285849832,0.0,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 1]",2
0.0072787275254142525,0.10000000149011612,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",2
0.02208768713380138,0.0,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]",0
0.01470766053415673,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.021227746324442798,0.10000000149011612,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.011037989352729483,0.0,"[1, 0, 0, 0, 1, 1, 1, 1, 1, 1]",2
0.022431715796969343,0.10000000149011612,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.0060633029980863284,0.20000000298023224,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",2
0.01262665885808989,0.0,"[1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",8
0.016630953578724572,0.10000000149011612,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",8
0.01208652913143382,0.10000000149011612,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",8
0.014214120635870131,0.0,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 1]",2
0.014891633265676774,0.0,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1
0.01787444174634545,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.005704362167186394,0.10000000149011612,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.01850220882249687,0.20000000298023224,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.005894002832246059,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
